Row_num,Country,Year,Disease Name,Country_pop,Incidence Rate mn (%),Prevalence rate (%),Mortality Rate per 100 people (%),Population affected,Pop_affected(Male),Pop_affected(Female),Ages 0-18 (%),Ages 19-35 (%),Ages 36-60 (%),Ages 61+ (%),Pop_affected_U (%),Pop_affected_R (%),Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment type,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Average Annual Treatment Cost (USD),Availability of Vaccines/Treatment,Composite Health Index (CHI),Per Capita Income (USD),Education Index,Urbanization Rate (%)
5275,Mex!co,2009.00,Alzheimer's Disease,111999721,,,,,,,,,,,,,58.06,2.18,4.01,Therapy,78.73,0,50.25,'3766,Low,41.4,'8423.57,0.64,75.7
5276,Saudi Arabia,2011.00,HIV/A!DS,25091867,0.29,'2.76,0.02,72766,41113,31653,'6,'30,'35,'29,82,18,72.07,1.08,2.62,Medication,57.11,12.99,-38.73,'1700,High,48.2,'25919.09,0.68,81.8
5277,Australia,2010.00,Hypertension,22031750,0.73,'10.28,0.1,160832,86045,74787,'1,'8,'39,'53,85,15,70.1,3.98,6.74,Medication,68.82,42.62,-16.9,'2052,High,76.8,'58769.06,0.9,85
5278,Japan,2017.00,COVID-19,126972000,4.6,'6.35,0,5840712,3171507,2669205,'8,'22,'37,'32,92,8,90.17,4.54,9.58,Medication,50.36,57.56,-47,'5700,None,45.6,'38805.72,0.85,91.7
5279,T?u?r?k?e?y?,2021.00,Leprosy,84147318,0.01,'0,,6533,4103,2430,'11,'19,'40,'30,76,25,70.14,2.41,3.49,Medication,52.85,0,-39.12,'9974,Medium,50.5,'9457.85,0.79,75.5
5280,?r?zil,2003.00,Measles,180622688,0.29,'0.4,0,523806,278141,245665,'54,'21,'8,'18,82,18,52.02,1.33,3.87,Medication,93.27,3.88,,'31,Medium,50.4,'3090.61,0.57,81.8
5281,USA,2002.00,HIV/A!DS,287625193,0.25,'1.84,0.02,719063,396204,322859,'9,'30,'37,'24,79,21,84.02,3.8,2.38,Medication,80.75,10.24,,'1989,Low,49.9,'38069.33,0.87,79.3
5282,France,2005.00,COVID-19,63180854,4.6,'6.31,0.04,2906319,1496754,1409565,'13,'25,'33,'30,78,22,93.05,2.77,3.68,Medication,68.15,53.77,15.06,'3466,None,38.8,'34458.38,0.77,77.8
5283,It@l¥,2018.00,Zika,60148658,0,'0,0,2345,1147,1198,'18,'27,'18,'38,70,30,94.18,4.32,12.04,Medication,59.08,0,-35.66,'549,Medium,56,'34829.5,0.81,69.7
5284,United Kingdom,2023.00,Alzheimer's Disease,68492000,,,,,,,,,,,,,,,,Medication,55.73,0,-37.97,'44888,Low,13.7,'49224.06,,83
5285,Nigeria,2021.00,COVID-19,218529286,6.12,'7.63,0.03,13373992,7542931,5831061,'19,'26,'32,'23,52,48,26.11,0.5,0.99,Medication,82.4,79.44,-5.08,'217,Low,23.3,'2008.54,0.55,51.8
5286,T?u?r?k?e?y?,2016.00,Polio,79277962,0,'0,0,2828,1442,1386,'42,'20,'10,'29,73,27,64.11,1.87,2.03,Vaccination,50.6,0,-24.87,'53,Medium,45,'10651.08,0.77,73
5287,South Africa,2013.00,Alzheimer's Disease,54678791,,,,,,,,,,,,,54.09,2.18,2.15,Therapy,96.45,0,30.36,'2319,Low,41,'7327.97,0.72,62.9
5288,South Africa,2008.00,COVID-19,51114599,0.61,'0.67,0,311799,172737,139062,'18,'25,'30,'27,61,39,60.05,1.53,3.79,Medication,57.3,6.1,-36.34,'111,None,27.8,'6184.75,0.68,61
5289,It@l¥,2007.00, Ebola ,58756247,0,'0,0,2035,1026,1009,'6,'23,'40,'30,68,32,86.07,3.66,6.32,Therapy,69.95,0,-8.74,'13531,None,42.2,'37600.61,0.77,68.1
5290,Russia,2001.00,Alzheimer's Disease,145976482,,,,,,,,,,,,,74.01,2.46,3.67,Therapy,77.83,0,,'5338,Low,45.3,'2113.38,0.77,73.1
5291,G%rmany,2015.00,Asthma,81686611,0.64,'12.27,0.05,522794,237348,285446,'19,'23,'32,'27,77,23,74.15,3.27,6.57,Medication,92.84,59.17,75.47,'1560,High,80.5,'41711.39,0.95,77
5292,United Kingdom,2014.00,Rabies,64620000,0.01,'0.01,0,6462,4226,2236,'11,'25,'35,'30,82,18,,,,Medication,92.16,0.12,45.04,'2180,Low,22,'47246.82,0.92,81.8
5293,Nigeria,2009.00, Ebola ,162049464,0.32,'0.34,0.23,518558,274836,243722,'15,'27,'36,'22,43,57,40.05,0.57,0.52,Medication,60.59,7.61,15.63,'368,none,18.6,'1801.44,0.43,42.8
5294,It@l¥,2023.00,Rabies,58993475,0,'0,0,2123,1433,690,'6,'22,'44,'29,70,30,93.23,3.41,7.44,Medication,64.74,0.05,-27.94,'1324,Medium,66.9,'38671.64,,70.5
5295,South Korea,2011.00,Hepatitis,49936638,0.35,'3.47,0.05,174778,107314,67464,'6,'15,'35,'44,80,20,81.11,4.06,7.52,Medication,84.35,17.76,-9.51,'1352,High,76.2,'26606.27,0.86,79.9
5296,Mex!co,2023.00,Leprosy,129739759,0,'0,,4440,2784,1656,'11,'19,'40,'30,80,20,68.15,1.12,1.45,Medication,57.91,0,-35.54,'8083,Medium,44.6,'13826.13,,79.9
5297,Japan,2012.00,Alzheimer's Disease,127629000,,,,,,,,,,,,,85.12,3.34,10.6,Therapy,68.25,0,4.28,'24686,Medium,61,'49030.31,0.85,91.5
5298,Indonesia,2013.00,Tub?rculosis,255852467,0.04,'0.19,0,102341,65396,36945,'22,'25,'30,'23,50,50,36.07,0.38,0.82,Medication,91.7,0.9,23.94,'47,Medium,39.2,'3566.6,0.63,50.5
5299,Australia,2007.00,Influen&za,20827622,3.93,'4.28,0.03,818526,420722,397804,'22,'25,'33,'20,85,15,90.07,4.2,7.1,Medication,63.06,47.28,-17.73,'263,High,74.6,'47105.64,0.89,84.7
5300,Saudi Arabia,2007.00,Zika,22368313,0,'0,0,538,266,272,'22,'30,'10,'38,81,19,70.05,1.91,2.2,Medication,83.79,0,9.32,'274,None,32.8,'18583.76,0.63,80.8
5301,Russia,2012.00,Dengue,143378447,0,'0,0,2418,1260,1158,'31,'35,'25,'9,74,26,70.08,1.43,4.47,Medication,87.79,0,34.13,'88,Medium,55.4,'15304.44,0.82,74
5302,Australia,2024.00,COVID-19,27204809,0.25,'0.34,0,68012,36999,31013,'8,'25,'36,'31,86,14,89.24,4.71,5.54,Vaccination,90.42,3.26,22.82,'7233,High,61.1,,,86
5303,China,2016.00,Malaria,1387790000,0.01,'0,0,99362,52364,46998,'35,'30,'25,'10,54,46,70.11,1.5,4.63,Medication,90.38,0,34.19,'168,High,63.5,'8000.64,0.65,53.6
5304,India,2009.00,Cholera,1225524753,4.95,'7.39,0.94,60663475,32818940,27844535,'30,'32,'25,'13,30,70,28.05,0.67,1.34,Medication,53.36,73.69,1.83,'38,Low,26.2,'1073.2,0.45,30.4
5305,South Korea,2000.00,Asthma,47008111,0.17,'2.83,0.01,79914,35402,44512,'28,'25,'25,'22,78,22,90,2.8,6.82,Medication,89.26,13.16,,'900,High,83.5,'12782.65,0.79,78
5306,It@l¥,2016.00,Polio,60115223,0.01,'0,0,3212,1638,1574,'33,'17,'17,'32,69,31,71.16,3.16,9.52,Vaccination,98.36,0,46.04,'217,Medium,69.1,'31203.21,0.79,69.4
5307,USA,2009.00,Hypertension,306771529,1.85,'23.6,0.13,5675273,2917090,2758183,'1,'8,'38,'53,81,19,76.09,3.42,7.81,Medication,52.24,119.94,-0.31,'2381,High,75.3,'47003.13,0.89,80.5
5308,Russia,2000.00,Cancer,146596869,0.35,'3.7,0.03,513089,254492,258597,'8,'10,'35,'47,73,27,73,1.06,4.13,Medication,75.55,17.51,,'5087,High,53.1,'1782.79,0.76,73
5309,Russia,2004.00,Parkinson's Disease,144067316,,,,,,,,,,,,,72.03,1.9,4.81,Medication,91.48,0,,'4518,Low,47.1,'4110.24,0.8,73.3
5310,T?u?r?k?e?y?,2018.00,Asthma,81407204,0.85,'11.98,0.11,691961,322454,369507,'26,'25,'25,'24,74,26,73.12,2.29,3.35,Medication,59.1,45.29,-35.63,'455,High,65.7,'9227.78,0.78,74
5311,South Korea,2018.00,Zika,51585058,0,'0,0,2161,1074,1087,'24,'30,'10,'36,81,19,72.18,2.86,10.78,Medication,85.06,0,-7.36,'1108,Medium,52,'35325.71,0.87,81.1
5312,Nigeria,2002.00,Tub?rculosis,133471989,0.46,'2.5,0.05,613971,381890,232081,'26,'27,'31,'16,38,63,46.01,0.56,0.69,Medication,56.08,13.47,,'31,Medium,35.8,'714.65,,37.5
5313,Can@da,2011.00,Cholera,34339221,0.01,'0,0,2665,1391,1274,'21,'30,'29,'20,79,21,81.11,3.53,6.32,Medication,59.23,0,-36.46,'2430,Medium,61.4,'51897.07,0.88,78.9
5314,Indonesia,2016.00,Hepatitis,264627418,0.42,'4.06,0.04,1111435,709096,402339,'7,'15,'35,'44,52,48,50.08,0.48,1.34,Medication,60,20.18,-10.91,'53,Medium,38.2,'3521.47,0.64,52.4
5315,Mex!co,2021.00,Alzheimer's Disease,127648148,,,,,,,,,,,,,56.14,1.25,4.21,Medication,59.99,0,-30.9,'6923,Low,35.9,'10314.05,0.71,79.3
5316,Can@da,2012.00,Rabies,34713395,0.01,'0.01,0,3471,2277,1194,'11,'25,'39,'25,79,21,82.12,3.02,4.32,Medication,72.79,0.18,11.21,'1603,Medium,60.1,'52354.83,0.89,79
5317,Russia,2018.00,Influen&za,145398106,12.93,'16.25,0.04,18799975,9832387,8967588,'24,'25,'30,'21,74,26,65.12,2.03,1.71,Vaccination,72.16,147.83,-21.41,'55,High,56.4,'11318.22,0.84,74.4
5318,It@l¥,2002.00,Cholera,57089824,0,'0,0,1146,605,541,'22,'29,'29,'19,67,33,70.02,3.28,3.21,Medication,85.65,0,,'894,Medium,58.3,'22322.05,0.73,67.3
5319,Nigeria,2004.00,Measles,141057045,1.75,'2.19,0.01,2468498,1310772,1157726,'56,'22,'9,'13,39,61,21.02,0.69,0.81,Medication,53.49,17.57,,'5,Medium,29.1,'966.89,0.41,39
5320,India,2016.00,HIV/A!DS,1343944296,0.26,'1.95,0.02,3494255,2075587,1418668,'14,'31,'35,'19,33,67,26.08,0.16,1.42,Medication,98.64,8.48,46.46,'17,Medium,33.7,'1704.38,0.53,33.1
5321,South Africa,2004.00,Diabetes,48991421,0.49,'7.43,0.06,240058,130351,109707,'8,'16,'40,'36,60,40,71.03,1.52,2.93,Medication,71.82,37.83,,'32,High,64.6,'5221.46,0.67,59.5
5322,Nigeria,2015.00,Alzheimer's Disease,190671878,,,,,,,,,,,,,43.08,0.19,1.23,Medication,65.68,0,24.14,'2385,Low,27.6,'2622.04,0.48,47.3
5323,USA,2004.00, Ebola ,292805298,0,'0,0,9244,4483,4761,'8,'25,'38,'29,80,20,77.04,4.87,10.03,Medication,62.78,0,,'32652,None,45.7,'41727.36,0.87,79.7
5324,France,2024.00,COVID-19,68516699,3.37,'4.38,0.01,2309013,1237631,1071382,'8,'25,'36,'31,81,19,75.24,3.27,2.26,Vaccination,86.54,37.94,17.55,'8173,High,51.2,,,80.6
5325,France,2010.00,Influen&za,65026211,9.08,'11.36,0.02,5904380,2910859,2993521,'22,'25,'34,'20,79,22,76.1,4.17,11.93,Medication,87.13,117.19,5.2,'115,High,79,'40394.28,0.79,78.5
5326,Nigeria,2009.00,Influen&za,162049464,2.81,'3.78,0.02,4553590,2381528,2172062,'30,'27,'31,'12,43,57,31.05,0.44,1.03,Medication,74.06,36.73,41.34,'6,Medium,35.1,'1801.44,0.43,42.8
5327,France,2005.00,Polio,63180854,0,'0,0,2081,1020,1061,'38,'20,'13,'30,78,22,74.05,2.99,5.73,Medication,85.3,0,44.01,'131,High,69.2,'34458.38,0.77,77.8
5328,G%rmany,2019.00,Influen&za,83092962,10.76,'11.91,0.08,8940803,4515106,4425697,'17,'22,'38,'23,77,23,87.19,4.94,6.71,Medication,69.89,103.26,-4.22,'2109,High,76.5,'47358.15,0.95,77.5
5329,?r?zil,2003.00,Zika,180622688,0,'0,0,8951,4476,4476,'29,'31,'10,'31,82,18,62.02,1.18,1.12,Vaccination,98.02,0,,'33,None,30.4,'3090.61,0.57,81.8
5330,China,2003.00,Cholera,1288400000,0.01,'0,0,95772,49897,45875,'27,'30,'25,'18,39,61,67.02,1.88,1.48,Medication,95.12,0,,'91,Medium,53.1,'1282.55,0.51,39.3
5331,China,2005.00,Alzheimer's Disease,1303720000,,,,,,,,,,,,,71.03,2.12,1.95,Medication,52.82,0,-10.82,'3473,Low,37.7,'1744.97,0.53,41.5
5332,Australia,2022.00,Tub?rculosis,26014399,0.28,'1.73,0.03,72840,45306,27534,'14,'25,'35,'26,86,14,88.22,2.87,10.61,Medication,86.31,9.65,20.95,'2980,High,78.6,'67972.13,0.92,86
5333,Nigeria,2005.00,Diabetes,145017253,0.23,'3.67,0.02,333540,178777,154763,'11,'17,'41,'32,40,60,50.03,0.59,0.38,Medication,93.59,15.21,58.01,'135,Medium,48.1,'1214.57,0.42,39.8
5334,India,2023.00,Leprosy,1438069596,0.02,'0.16,,287614,185511,102103,'14,'21,'40,'25,36,64,29.12,0.45,0.54,Medication,78.72,0.82,-12.38,'2292,Low,29.4,'2486.51,,35.7
5335,Saudi Arabia,2016.00,HIV/A!DS,30954198,0.23,'2.24,0.03,71195,40510,30685,'5,'30,'35,'30,83,17,62.11,1.54,3.44,Medication,62.15,9.81,-7.72,'2163,Medium,42.3,'21681.23,0.74,83
5336,Australia,2000.00,Dengue,19028802,0,'0,0,888,448,440,'29,'35,'27,'9,84,16,77,4.6,6.82,Medication,89.86,0,,'1140,medium,69.4,'21436.3,0.88,84
5337,USA,2020.00, Ebola ,331577720,0.01,'0,0,16775,8639,8136,'4,'25,'40,'31,82,18,79.2,3.64,7.72,Therapy,74.25,0,-24.66,'63821,Medium,51.2,'62910.5,0.92,82.4
5338,Mex!co,2021.00,Polio,127648148,0.01,'0,0,9697,5110,4587,'41,'19,'10,'30,79,21,52.14,1.81,1.8,Vaccination,95.21,0,9.68,'11,Medium,49.3,'10314.05,0.71,79.3
5339,USA,2014.00,Parkinson's Disease,319257560,,,,,,,,,,,,,81.14,3.43,2.64,Therapy,50.5,0,-20.52,'30693,Medium,48.6,'54494.89,0.9,81.4
5340,Nigeria,2000.00,Polio,126382494,0.05,'0.05,0,63191,33365,29826,'46,'22,'11,'21,36,64,39,0.26,0.32,Medication,52.02,0.62,,'5,High,39,'549.51,,36
5341,USA,2001.00,Influen&za,284968955,10.52,'13.33,0.04,29978734,14989367,14989367,'24,'25,'32,'19,79,21,72.01,3.59,3.68,Medication,83.37,127.72,,'314,High,67.1,'37223.66,0.87,79.2
5342,Can@da,2017.00,HIV/A!DS,36545075,0.24,'1.36,0.01,87708,47976,39732,'5,'30,'40,'26,80,20,84.17,4.04,8.2,Medication,83.62,7.4,-11.99,'2806,High,69.1,'44806.66,0.9,79.9
5343,G%rmany,2017.00,COVID-19,82657002,0.52,'0.55,0,429816,226943,202873,'8,'22,'37,'32,77,23,82.17,2.79,12.01,Medication,71.24,5.79,-25.02,'5303,None,43.6,'45281.72,0.94,77.2
5344,G%rmany,2011.00,Asthma,80274983,0.79,'15.39,0.08,634172,280938,353234,'20,'23,'31,'26,76,24,94.11,5.05,11.36,Medication,86.31,70.89,-7.4,'1189,High,94,'47303.11,0.94,76.4
5345,USA,2021.00,Hepatitis,332099760,0.43,'3.63,0.06,1428029,862530,565499,'1,'15,'40,'44,83,17,72.21,3.69,3.75,Medication,94.98,17.47,9.41,'3287,High,69.6,'69617.53,0.91,82.6
5346,France,2006.00,Dengue,63622342,0,'0,0,646,317,329,'28,'35,'28,'10,78,22,77.06,4.56,11.32,Medication,52.8,0,-43.2,'797,Medium,66.9,'36182.58,0.78,77.9
5347,Indonesia,2023.00,COVID-19,281190067,4.3,'5.43,0.03,12091173,6867786,5223387,'16,'24,'30,'30,57,43,22.12,0.79,0.48,Vaccination,50.78,41.61,-43.48,'773,Low,18.1,'4876.31,,57
5348,Argentina,2001.00,Dengue,37624825,9.16,'13.26,0.06,3446434,1712878,1733556,'34,'36,'25,'5,89,11,70.01,1.29,2.76,Medication,76.23,96.69,,'60,Medium,50.6,'7743.15,0.75,89.1
5349,Russia,2010.00,Polio,142849468,0.01,'0,0,8719,4421,4298,'41,'20,'10,'29,74,26,53.07,1.15,1.92,Medication,59.4,0,-28.28,'6,High,48.7,'10698.24,0.81,73.8
5350,India,2003.00,Zika,1116803006,0.01,'0,0,76535,38344,38191,'31,'32,'10,'27,28,72,23.02,0.75,0.29,Medication,50.64,0,,'32,none,13.8,'536.77,0.4,28.1
5351,?r?zil,2017.00,Cancer,204703445,0.56,'8.64,0.03,1146339,614438,531901,'6,'10,'35,'49,85,15,59.11,2.5,4.2,Surgery,96.69,33.09,1.77,'5551,Medium,50.3,'10080.51,0.69,85.3
5352,France,2020.00,COVID-19,67601110,5.03,'6.29,0.05,3400336,1836181,1564155,'9,'25,'35,'31,80,20,78.2,4.32,11.97,Vaccination,77.54,56.68,-21.32,'6401,High,60.8,'38880.53,0.83,80
5353,Can@da,2009.00,Influen&za,33630069,13.01,'15.99,0.09,4375272,2187636,2187636,'22,'25,'33,'20,79,21,89.09,3.79,11.41,Medication,78.81,137.56,50.4,'295,High,80,'40693.38,0.87,78.5
5354,It@l¥,2015.00,Polio,60229605,0,'0,0,2249,1163,1086,'34,'18,'17,'32,69,31,76.15,2.8,10.88,Vaccination,51.1,0,-3.42,'201,Medium,61.6,'30465.02,0.79,69.3
5355,T?u?r?k?e?y?,2008.00,Tub?rculosis,71051678,0.16,'1.59,0.02,113683,69460,44223,'23,'25,'30,'22,69,31,66.05,1.45,2.56,Medication,84.42,8.74,-6.21,'290,High,58.4,'10766.12,0.56,69
5356,Saudi Arabia,2013.00,COVID-19,27624004,1.48,'1.81,0,408835,223633,185202,'11,'25,'30,'34,82,18,59.09,1.34,2.28,Medication,84.81,15.48,14.62,'3528,None,29.5,'26897.96,0.71,82.3
5357,France,2008.00,Influen&za,64375116,4.29,'6.29,0.02,2761692,1389131,1372561,'22,'25,'33,'20,78,22,90.08,3.91,11.83,Medication,68.31,43.41,-24.11,'110,High,78.7,'45136.86,0.78,78.2
5358,Russia,2009.00,Hypertension,142785348,1.46,'15.42,0.13,2084666,1115296,969370,'3,'8,'35,'54,74,26,68.06,1.11,4.97,Medication,65.8,63.64,25.57,'861,High,64.4,'8581.52,0.8,73.7
5359,T?u?r?k?e?y?,2006.00,Zika,70045349,0,'0,0,1216,599,617,'28,'31,'10,'31,68,32,52.04,1.12,2.56,Medication,64.33,0,-30.79,'96,None,25,'7953.08,0.55,68
5360,Saudi Arabia,2001.00,Cancer,17041397,0.59,'9.33,0.04,100544,51177,49367,'4,'10,'35,'51,79,21,65.01,1.02,2.82,Medication,98.11,47.31,,'8191,medium,46.7,'10805.31,0.58,79.3
5361,Mex!co,2021.00,Zika,127648148,0,'0,0,5974,3047,2927,'26,'29,'10,'35,79,21,64.14,2.24,1.75,Vaccination,74.11,0,-14.63,'64,Medium,38.8,'10314.05,0.71,79.3
5362,Japan,2011.00,Measles,127833000,1.32,'1.41,0,1687396,828511,858885,'45,'18,'14,'23,91,9,78.11,4.4,4,Vaccination,96.09,15.48,3.09,'808,High,73.7,'48659.8,0.84,91.4
5363,Mex!co,2003.00,Cholera,102978515,0,'0,0,2227,1145,1082,'29,'31,'25,'16,74,26,56.02,1.26,2.59,Medication,94.6,0,,'95,Medium,49.9,'7434.07,0.59,73.9
5364,Argentina,2007.00,Influen&za,40016763,7.89,'10.59,0.03,3157323,1575504,1581819,'28,'25,'30,'17,90,10,53.05,1.47,3.53,Medication,85.77,83.67,11.9,'14,Medium,49.3,'7240.84,0.79,89.9
5365,South Africa,2012.00,COVID-19,53782567,0.86,'1.15,0.01,462530,256704,205826,'17,'25,'30,'28,63,37,65.08,2.31,4.68,Medication,75.51,11.12,15.37,'128,None,34,'8076.91,0.71,62.6
5366,Japan,2016.00,Diabetes,127076000,0.91,'14.2,0.04,1156392,589760,566632,'1,'12,'47,'39,92,8,91.16,3.11,2.8,Medication,86.19,60.25,27.97,'2552,High,78.1,'39349.48,0.85,91.6
5367,Mex!co,2006.00,Leprosy,107253666,0,'0,,3221,1936,1285,'13,'21,'40,'26,75,25,57.04,1.24,2.04,Medication,93.04,0,0.1,'3391,Medium,49.1,'9512.64,0.62,74.8
5368,South Africa,2018.00,Rabies,58613001,0.01,'0,0,2938,2010,928,'16,'25,'35,'24,65,35,53.12,2.48,3.71,Medication,80.79,0.05,-12.01,'120,Medium,51.4,'6914.18,0.75,64.8
5369,Argentina,2020.00,Hepatitis,45191965,0.03,'0.15,0,13558,8365,5193,'6,'14,'35,'45,92,8,74.13,1.1,4.93,Medication,79.67,0.89,-19.16,'61,High,62,'8535.6,0.87,91.6
5370,Indonesia,2012.00,Alzheimer's Disease,252698525,,,,,,,,,,,,,28.06,0.34,1.04,Medication,83.97,0,28.3,'2117,Low,27,'3632.27,0.62,49.8
5371,Can@da,2008.00,Measles,33247298,1.67,'1.98,0.01,555230,275949,279281,'47,'20,'11,'22,78,22,93.08,3.31,12.08,Vaccination,98.4,18.75,9.32,'834,High,83.3,'46424.71,0.87,78.4
5372,Japan,2002.00,Hypertension,127445000,0.81,'15.89,0.17,1032305,528540,503765,'1,'7,'39,'53,91,9,85.02,3.47,6.81,Medication,98.24,71.14,,'1619,High,85.8,'32810.59,0.82,91.1
5373,Nigeria,2021.00,Parkinson's Disease,218529286,,,,,,,,,,,,,48.11,0.2,1.39,Medication,80.23,0,-7.58,'3420,Low,31.3,'2008.54,0.55,51.8
5374,India,2024.00, Ebola ,1450935791,0,'0,0,65215,35607,29608,'14,'26,'35,'26,36,64,43.12,0.29,0.88,Therapy,71.79,0,-2.49,'494,Low,24.8,,,36
5375,Japan,2008.00,Influen&za,128063000,12.86,'18.92,0.13,16468902,8250920,8217982,'21,'23,'36,'21,91,9,78.08,2.6,3.33,Vaccination,50.29,135.13,-44.13,'287,High,59.6,'39847.37,0.84,91.3
5376,France,2005.00,Asthma,63180854,0.34,'4.07,0.02,214815,96452,118363,'23,'25,'28,'25,78,22,90.05,3.48,2.48,Medication,71.74,17.99,21.12,'781,High,75.5,'34458.38,0.77,77.8
5377,Mex!co,2020.00,Influen&za,126799054,11.7,'16.96,0.08,14835489,7788632,7046857,'26,'24,'30,'20,79,21,56.13,2.01,3.38,Vaccination,63.98,162.23,-35.08,'27,High,54.7,'8841.27,0.72,79
5378,India,2011.00,Rabies,1261224954,0.01,'0.01,0,126122,86646,39476,'20,'26,'35,'19,31,69,35.06,0.53,1.38,Medication,68.73,0.2,-26.26,'42,Low,30.5,'1484.21,0.48,31.2
5379,China,2012.00,COVID-19,1354190000,0.59,'0.61,0,7989721,4386357,3603364,'16,'25,'30,'29,49,51,71.08,1.94,2.75,Medication,85.58,5.53,30.76,'860,None,33.9,'6230.05,0.6,49.2
5380,Australia,2000.00,Influen&za,19028802,3.97,'5.59,0.02,755443,383765,371678,'24,'25,'32,'19,84,16,84,3.37,6.12,Medication,80.69,51.1,,'246,High,72.6,'21436.3,0.88,84
5381,Mex!co,2001.00,Cancer,100099099,0.25,'3.91,0.03,250248,127626,122622,'9,'11,'35,'45,73,27,68.01,1.21,2.76,Medication,60.25,19.44,,'4882,Medium,41.8,'7952.77,0.56,73.3
5382,France,2010.00,Rabies,65026211,0.01,'0.01,0,6503,4162,2341,'12,'25,'39,'25,79,22,94.1,3.21,3.81,Medication,53.61,0.15,-35.27,'637,Medium,59.7,'40394.28,0.79,78.5
5383,South Africa,2001.00,HIV/A!DS,47566800,0.96,'7.73,0.07,456641,256632,200009,'14,'31,'35,'20,58,42,69.01,2.13,4.13,Medication,82.44,38.34,,'31,Low,44.6,'2847.15,0.62,58.4
5384,Mex!co,2014.00, Ebola ,119784261,0.01,'0,0,9457,4785,4672,'12,'25,'35,'28,77,23,57.09,2.24,3.18,Therapy,51.79,0,-18.49,'9661,Low,31.5,'11391.38,0.67,77.2
5385,?r?zil,2002.00,Measles,178503484,1.72,'2.46,0.01,3070260,1581184,1489076,'54,'21,'8,'17,82,19,57.01,1.41,4.6,Medication,85.02,18.28,,'32,Medium,51.5,'2855.94,0.56,81.5
5386,France,2021.00,Malaria,67842811,0.01,'0,0,4324,2270,2054,'29,'30,'30,'11,80,20,88.21,4.42,3.13,Medication,51.44,0,-40.74,'1750,High,67.2,'43437.82,0.83,80.2
5387,Nigeria,2013.00,Zika,181049443,0,'0,0,3770,1915,1855,'30,'31,'12,'27,46,54,25.07,0.43,1.49,Medication,86.54,0,16.96,'43,none,19.8,'2876.54,0.45,45.8
5388,G%rmany,2019.00,Tub?rculosis,83092962,0.22,'2.07,0.01,182805,110597,72208,'12,'22,'38,'28,77,23,91.19,4.56,2.27,Medication,57.49,7.64,-21.21,'2935,High,68.3,'47358.15,0.95,77.5
5389,Nigeria,2018.00,Diabetes,204938755,0.61,'7.28,0.05,1250126,681319,568807,'9,'16,'42,'33,50,51,43.09,0.62,0.71,Medication,87.7,27.54,-4.49,'235,Medium,45.4,'2057.87,0.51,49.5
5390,France,2008.00,HIV/A!DS,64375116,0.22,'1.57,0.01,141625,77327,64298,'7,'30,'38,'25,78,22,76.08,3.34,2.6,Therapy,75.6,8.52,-16.01,'2144,High,57.5,'45136.86,0.78,78.2
5391,South Korea,2015.00,Asthma,51014947,0.46,'5.14,0.03,234669,108886,125783,'25,'25,'25,'25,81,19,84.15,4.83,3.76,Medication,55.36,23.1,4.63,'1438,High,76.4,'30190.16,0.86,80.6
5392,France,2014.00,Polio,66312067,0.01,'0,0,4647,2342,2305,'36,'20,'14,'30,79,21,93.14,3.31,3.63,Vaccination,66.59,0,4.8,'192,High,69,'42806.51,0.8,79.1
5393,Australia,2008.00,HIV/A!DS,21249199,0.24,'1.59,0.02,50998,28508,22490,'7,'30,'38,'25,85,15,71.08,4.3,3.06,Medication,59.13,7.49,-34.31,'1772,High,56.5,'49511.86,0.9,84.8
5394,United Kingdom,2015.00,Leprosy,65088000,0,'0,,1052,639,413,'5,'20,'40,'35,82,18,,,,Medication,85.35,0,61.31,'12225,Low,20.8,'44781.53,0.91,82
5395,Japan,2005.00,Zika,127773000,0.01,'0,0,8818,4215,4603,'22,'29,'15,'35,91,9,86.05,4.96,8.93,Medication,59.75,0,0.88,'684,None,46.2,'37771.41,0.83,91.2
5396,G%rmany,2002.00,Diabetes,82488495,0.64,'7.81,0.08,527926,267131,260795,'2,'14,'44,'39,75,25,76.02,4.48,8.49,Medication,59.84,36.79,,'1606,High,80.9,'25617.08,0.89,75.3
5397,Nigeria,2010.00,Zika,166642886,0.01,'0,0,11446,5895,5551,'30,'32,'12,'27,44,57,32.05,0.23,0.87,Medication,70.46,0,-14.92,'41,none,18,'2248.92,0.42,43.5
5398,?r?zil,2006.00,Influen&za,186653106,3.36,'3.96,0.03,6271544,3336461,2935083,'28,'26,'30,'16,83,18,67.04,1.11,4.39,Vaccination,59.65,37.81,-35.83,'264,High,55.8,'5934.15,0.59,82.5
5399,South Africa,2018.00,Hypertension,58613001,0.62,'8.32,0.01,363401,205322,158079,'3,'8,'35,'54,65,35,52.12,1.97,3.51,Medication,90.18,37.11,-1.79,'59,Medium,56.8,'6914.18,0.75,64.8
5400,G%rmany,2019.00,Hepatitis,83092962,0.22,'1.44,0.02,182805,112791,70014,'1,'12,'43,'44,77,23,95.19,4.61,6.33,Medication,70.69,6.73,-3.12,'1940,High,77.4,'47358.15,0.95,77.5
5401,China,2002.00,Leprosy,1280400000,0.01,'0,,94803,57925,36878,'13,'20,'40,'27,38,62,72.01,1.69,2.17,Medication,54.87,0,,'3196,Medium,47.6,'1142.74,0.5,38.2
